epochs,seed,model_kind,date,daily_ic
3,7,concat_a:intensity_indexret,2024-11-19,0.42923076923076925
3,7,concat_a:intensity_indexret,2024-11-20,0.26615384615384613
3,7,concat_a:intensity_indexret,2024-11-21,0.1523076923076923
3,7,concat_a:intensity_indexret,2024-11-22,0.43615384615384617
3,7,concat_a:intensity_indexret,2024-11-25,0.3446153846153846
3,7,concat_a:intensity_indexret,2024-11-26,0.30153846153846153
3,7,concat_a:intensity_indexret,2024-11-27,0.1623076923076923
3,7,concat_a:intensity_indexret,2024-11-29,0.20384615384615384
3,7,concat_a:intensity_indexret,2024-12-02,0.04230769230769231
3,7,concat_a:intensity_indexret,2024-12-03,0.38461538461538464
3,7,concat_a:intensity_indexret,2024-12-04,-0.04076923076923076
3,7,concat_a:intensity_indexret,2024-12-05,0.26692307692307693
3,7,concat_a:intensity_indexret,2024-12-06,-0.05615384615384616
3,7,concat_a:intensity_indexret,2024-12-09,-0.673076923076923
3,7,concat_a:intensity_indexret,2024-12-10,-0.31153846153846154
3,7,concat_a:intensity_indexret,2024-12-11,-0.4576923076923077
3,7,concat_a:intensity_indexret,2024-12-12,-0.17923076923076922
3,7,concat_a:intensity_indexret,2024-12-13,-0.04538461538461538
3,7,concat_a:intensity_indexret,2024-12-16,0.21769230769230768
3,7,concat_a:intensity_indexret,2024-12-17,0.2646153846153846
3,7,concat_a:intensity_indexret,2024-12-18,0.30923076923076925
3,7,concat_a:intensity_indexret,2024-12-19,0.3561538461538461
3,7,concat_a:intensity_indexret,2024-12-20,0.07076923076923076
3,7,xip_a:intensity_indexret,2024-08-05,-0.048461538461538466
3,7,xip_a:intensity_indexret,2024-08-06,0.07153846153846154
3,7,xip_a:intensity_indexret,2024-08-07,0.18769230769230769
3,7,xip_a:intensity_indexret,2024-08-08,-0.2453846153846154
3,7,xip_a:intensity_indexret,2024-08-09,-0.0007692307692307692
3,7,xip_a:intensity_indexret,2024-08-12,0.13538461538461538
3,7,xip_a:intensity_indexret,2024-08-13,0.3807692307692308
3,7,xip_a:intensity_indexret,2024-08-14,0.40461538461538454
3,7,xip_a:intensity_indexret,2024-08-15,0.22076923076923075
3,7,xip_a:intensity_indexret,2024-08-16,0.3569230769230769
3,7,xip_a:intensity_indexret,2024-08-19,0.15076923076923077
3,7,xip_a:intensity_indexret,2024-08-20,-0.1753846153846154
3,7,xip_a:intensity_indexret,2024-08-21,-0.07307692307692308
3,7,xip_a:intensity_indexret,2024-08-22,-0.18769230769230769
3,7,xip_a:intensity_indexret,2024-08-23,-0.14384615384615382
3,7,xip_a:intensity_indexret,2024-08-26,-0.3992307692307692
3,7,xip_a:intensity_indexret,2024-08-27,0.1453846153846154
3,7,xip_a:intensity_indexret,2024-08-28,-0.06538461538461539
3,7,xip_a:intensity_indexret,2024-08-29,0.07846153846153846
3,7,xip_a:intensity_indexret,2024-08-30,0.1376923076923077
3,7,xip_a:intensity_indexret,2024-09-03,0.26692307692307693
3,7,xip_a:intensity_indexret,2024-09-04,0.3723076923076923
3,7,xip_a:intensity_indexret,2024-09-05,0.21769230769230768
3,7,xip_a:intensity_indexret,2024-09-06,0.6461538461538462
3,7,xip_a:intensity_indexret,2024-09-09,0.05538461538461539
3,7,xip_a:intensity_indexret,2024-09-10,-0.020769230769230772
3,7,xip_a:intensity_indexret,2024-09-11,0.08153846153846152
3,7,xip_a:intensity_indexret,2024-09-12,-0.003846153846153846
3,7,xip_a:intensity_indexret,2024-09-13,-0.2692307692307692
3,7,xip_a:intensity_indexret,2024-09-16,0.08538461538461539
3,7,xip_a:intensity_indexret,2024-09-17,-0.10153846153846155
3,7,xip_a:intensity_indexret,2024-09-18,-0.15076923076923077
3,7,xip_a:intensity_indexret,2024-09-19,-0.21999999999999997
3,7,xip_a:intensity_indexret,2024-09-20,-0.1576923076923077
3,7,xip_a:intensity_indexret,2024-09-23,-0.006923076923076924
3,7,xip_a:intensity_indexret,2024-09-24,-0.2915384615384616
3,7,xip_a:intensity_indexret,2024-09-25,-0.20384615384615384
3,7,xip_a:intensity_indexret,2024-09-26,0.0007692307692307692
3,7,xip_a:intensity_indexret,2024-09-27,0.14615384615384616
3,7,xip_a:intensity_indexret,2024-09-30,-0.1676923076923077
3,7,xip_a:intensity_indexret,2024-10-01,0.1446153846153846
3,7,xip_a:intensity_indexret,2024-10-02,0.1623076923076923
3,7,xip_a:intensity_indexret,2024-10-03,0.35846153846153844
3,7,xip_a:intensity_indexret,2024-10-04,0.16538461538461538
3,7,xip_a:intensity_indexret,2024-10-07,-0.003076923076923077
3,7,xip_a:intensity_indexret,2024-10-08,-0.06384615384615384
3,7,xip_a:intensity_indexret,2024-10-09,0.1992307692307692
3,7,xip_a:intensity_indexret,2024-10-10,0.2907692307692308
3,7,xip_a:intensity_indexret,2024-10-11,0.45
3,7,xip_a:intensity_indexret,2024-10-14,0.3384615384615385
3,7,xip_a:intensity_indexret,2024-10-15,0.15538461538461537
3,7,xip_a:intensity_indexret,2024-10-16,0.13999999999999999
3,7,xip_a:intensity_indexret,2024-10-17,-0.05461538461538461
3,7,xip_a:intensity_indexret,2024-10-18,-0.03846153846153846
3,7,xip_a:intensity_indexret,2024-10-21,-0.23076923076923078
3,7,xip_a:intensity_indexret,2024-10-22,0.06307692307692309
3,7,xip_a:intensity_indexret,2024-10-23,-0.10307692307692308
